Move_1;Move_2;Move_3;Move_4;Move_5;Move_6;Move_7;Move_8;Move_9;Move_10;Score_1;Score_2;Score_3;Score_4;Score_5;Score_6;Score_7;Score_8;Score_9;Score_10
['MAINTAIN: 8 <-> 4', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 1'];['REPLACE: 6 <-> 5', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 6'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 6 <-> 5', 'REPLACE: 4 <-> 5', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 11 <-> 7', 'REPAIR: 5 <-> 9'];['REPLACE: 2 <-> 3', 'MAINTAIN: 7 <-> 6'];['REPAIR: 7 <-> 3', 'MAINTAIN: 7 <-> 6'];['REPAIR: 12 <-> 8', 'REPAIR: 9 <-> 10'];['REPAIR: 4 <-> 1', 'REPAIR: 13 <-> 12', 'REPAIR: 12 <-> 8'];['REPLACE: 11 <-> 7', 'REPLACE: 12 <-> 8'];['REPAIR: 2 <-> 1'];3;4;5;5;5;5;5;5;5;5
['MAINTAIN: 6 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 4 <-> 5'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 12 <-> 8', 'REPLACE: 11 <-> 7'];['REPAIR: 9 <-> 10', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 4 <-> 5'];['MAINTAIN: 4 <-> 5', 'REPAIR: 2 <-> 1', 'REPAIR: 8 <-> 4', 'MAINTAIN: 12 <-> 8', 'REPAIR: 7 <-> 6'];['REPAIR: 8 <-> 4', 'MAINTAIN: 4 <-> 5'];['REPAIR: 9 <-> 10', 'REPAIR: 2 <-> 3', 'REPAIR: 12 <-> 8', 'REPLACE: 8 <-> 4', 'MAINTAIN: 11 <-> 7'];['REPAIR: 12 <-> 8', 'REPLACE: 4 <-> 5'];['REPLACE: 14 <-> 13', 'REPAIR: 12 <-> 8', 'MAINTAIN: 4 <-> 5'];['REPLACE: 9 <-> 12', 'MAINTAIN: 14 <-> 13'];3;4;5;6;7;7;8;8;8;9
['MAINTAIN: 2 <-> 1', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 13 <-> 12'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 9 <-> 10', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 5'];['REPAIR: 4 <-> 1', 'MAINTAIN: 4 <-> 5', 'REPAIR: 14 <-> 13', 'REPAIR: 10 <-> 14'];['REPLACE: 2 <-> 1', 'REPLACE: 4 <-> 5', 'MAINTAIN: 13 <-> 12', 'REPAIR: 14 <-> 13'];['REPAIR: 10 <-> 14', 'REPAIR: 6 <-> 5'];['REPLACE: 11 <-> 7', 'REPAIR: 7 <-> 6'];['REPAIR: 7 <-> 6', 'REPLACE: 4 <-> 5'];['MAINTAIN: 4 <-> 5', 'REPAIR: 9 <-> 12', 'REPAIR: 14 <-> 13'];['REPLACE: 13 <-> 12', 'MAINTAIN: 4 <-> 5', 'REPAIR: 14 <-> 13'];3;4;5;6;7;8;8;8;8;8
['MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 6'];['MAINTAIN: 14 <-> 13', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 11 <-> 7'];['REPAIR: 9 <-> 10', 'REPLACE: 2 <-> 3', 'MAINTAIN: 2 <-> 1', 'REPAIR: 5 <-> 9', 'MAINTAIN: 14 <-> 13'];['REPAIR: 6 <-> 5', 'MAINTAIN: 11 <-> 7', 'REPLACE: 4 <-> 5'];['REPAIR: 5 <-> 9', 'REPAIR: 10 <-> 14', 'MAINTAIN: 11 <-> 7'];['REPAIR: 12 <-> 8', 'REPAIR: 9 <-> 12', 'REPAIR: 13 <-> 12'];['REPAIR: 7 <-> 3', 'REPAIR: 9 <-> 12', 'REPAIR: 2 <-> 3', 'REPAIR: 10 <-> 14', 'REPAIR: 10 <-> 11'];['REPLACE: 14 <-> 13', 'REPAIR: 7 <-> 6', 'REPAIR: 11 <-> 7', 'REPAIR: 13 <-> 12'];['REPLACE: 4 <-> 5', 'REPAIR: 4 <-> 1', 'REPAIR: 10 <-> 11', 'REPAIR: 11 <-> 7'];3;6;9;12;15;18;21;24;27;28
['MAINTAIN: 4 <-> 1', 'MAINTAIN: 4 <-> 5'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 7 <-> 3', 'REPLACE: 11 <-> 7'];['REPAIR: 2 <-> 3', 'REPAIR: 8 <-> 4', 'REPAIR: 2 <-> 1'];['REPLACE: 6 <-> 5', 'REPLACE: 10 <-> 14', 'REPAIR: 10 <-> 11'];['REPAIR: 7 <-> 6', 'REPAIR: 2 <-> 3', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 6 <-> 5', 'REPAIR: 14 <-> 13', 'REPLACE: 7 <-> 3'];['REPAIR: 14 <-> 13', 'REPAIR: 13 <-> 12'];['REPAIR: 8 <-> 4', 'REPAIR: 10 <-> 11', 'REPAIR: 2 <-> 1'];['REPLACE: 9 <-> 12', 'REPAIR: 7 <-> 6', 'REPAIR: 2 <-> 3'];3;4;5;5;6;6;7;7;7;7
['MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 11 <-> 7'];['MAINTAIN: 7 <-> 3', 'REPLACE: 7 <-> 6', 'MAINTAIN: 4 <-> 5'];['REPAIR: 4 <-> 1', 'MAINTAIN: 9 <-> 12', 'REPLACE: 8 <-> 4'];['REPAIR: 6 <-> 5', 'REPAIR: 14 <-> 13', 'MAINTAIN: 7 <-> 6'];['REPAIR: 14 <-> 13', 'REPLACE: 10 <-> 14', 'MAINTAIN: 9 <-> 12'];['REPAIR: 4 <-> 5', 'MAINTAIN: 8 <-> 4', 'REPAIR: 11 <-> 7'];['MAINTAIN: 10 <-> 14', 'REPLACE: 10 <-> 11', 'MAINTAIN: 8 <-> 4'];['REPLACE: 6 <-> 5'];['REPAIR: 9 <-> 12'];3;4;5;8;9;10;11;12;13;14
['MAINTAIN: 11 <-> 7', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 7 <-> 6', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 11'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 8 <-> 4'];['REPAIR: 4 <-> 1', 'MAINTAIN: 12 <-> 8', 'REPLACE: 9 <-> 12', 'REPAIR: 2 <-> 1'];['REPAIR: 2 <-> 1', 'REPAIR: 8 <-> 4', 'REPAIR: 6 <-> 5', 'REPAIR: 7 <-> 6', 'REPAIR: 14 <-> 13'];['REPAIR: 7 <-> 6', 'REPAIR: 10 <-> 14', 'REPAIR: 4 <-> 1', 'REPLACE: 8 <-> 4', 'REPAIR: 12 <-> 8'];['REPLACE: 5 <-> 9', 'REPAIR: 12 <-> 8'];['REPAIR: 7 <-> 3', 'REPLACE: 10 <-> 11', 'REPLACE: 9 <-> 12'];['MAINTAIN: 9 <-> 12'];3;6;9;10;13;14;15;15;16;17
['MAINTAIN: 9 <-> 10'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 13 <-> 12'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 4 <-> 5'];['REPLACE: 2 <-> 3', 'MAINTAIN: 9 <-> 10', 'REPAIR: 10 <-> 11'];['MAINTAIN: 9 <-> 10', 'REPAIR: 10 <-> 14', 'REPLACE: 5 <-> 9', 'REPAIR: 13 <-> 12'];['REPAIR: 4 <-> 1', 'REPAIR: 10 <-> 11', 'REPAIR: 7 <-> 6'];['MAINTAIN: 2 <-> 3', 'REPAIR: 7 <-> 6', 'REPLACE: 12 <-> 8', 'REPAIR: 4 <-> 1', 'REPAIR: 4 <-> 5'];['REPAIR: 7 <-> 6', 'REPLACE: 10 <-> 11', 'REPAIR: 9 <-> 10'];3;4;5;6;7;8;9;10;10;10
['MAINTAIN: 12 <-> 8', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 10 <-> 11'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 4 <-> 5', 'REPLACE: 13 <-> 12'];['REPAIR: 7 <-> 6', 'REPAIR: 8 <-> 4', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 4 <-> 1', 'REPLACE: 7 <-> 6', 'REPAIR: 8 <-> 4', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 7 <-> 6', 'REPAIR: 6 <-> 5', 'MAINTAIN: 10 <-> 11'];['REPAIR: 4 <-> 1', 'REPLACE: 11 <-> 7'];['MAINTAIN: 11 <-> 7', 'REPAIR: 9 <-> 10'];['REPAIR: 8 <-> 4', 'REPAIR: 12 <-> 8'];['REPLACE: 11 <-> 7', 'REPAIR: 6 <-> 5', 'REPLACE: 7 <-> 6'];0;4;5;6;7;8;9;9;9;9
['MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 14 <-> 13'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 7 <-> 6', 'REPLACE: 10 <-> 14'];['MAINTAIN: 6 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 7 <-> 6'];['REPAIR: 4 <-> 1', 'REPAIR: 2 <-> 1', 'REPAIR: 4 <-> 5', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 7 <-> 6', 'REPLACE: 9 <-> 10', 'MAINTAIN: 10 <-> 14', 'REPAIR: 7 <-> 3'];['REPAIR: 11 <-> 7', 'REPLACE: 5 <-> 9'];['REPAIR: 9 <-> 12', 'REPAIR: 12 <-> 8'];['REPAIR: 10 <-> 14', 'REPAIR: 7 <-> 3', 'REPAIR: 4 <-> 1'];['REPAIR: 4 <-> 1', 'REPAIR: 11 <-> 7', 'REPAIR: 10 <-> 14', 'REPAIR: 7 <-> 3'];['REPAIR: 9 <-> 12', 'REPAIR: 11 <-> 7', 'REPLACE: 6 <-> 5', 'REPAIR: 4 <-> 1'];3;6;9;12;15;16;17;17;17;17
