0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
37,41,46,52,54,90,99,161,170,170,170,170,170,170,170,170,170
32,52,57,63,63,68,74,94,143,152,161,170,170,170,170,170,170
32,42,42,70,72,73,82,102,118,127,136,152,161,170,170,170,170
35,40,42,72,76,85,94,108,113,125,161,170,170,170,170,170,170
30,31,44,49,54,60,66,96,96,135,143,152,161,170,170,170,170
32,32,32,39,42,62,118,143,152,161,170,170,170,170,170,170,170
32,32,40,42,56,81,89,143,152,161,170,170,170,170,170,170,170
32,41,43,46,57,70,86,105,135,144,161,170,170,170,170,170,170
32,37,39,46,47,52,66,82,112,121,130,139,153,170,170,170,170
30,35,37,57,102,104,113,122,136,138,170,170,170,170,170,170,170
30,32,39,50,102,111,116,161,170,170,170,170,170,170,170,170,170
32,41,45,48,73,80,85,121,128,144,161,170,170,170,170,170,170
35,43,89,91,99,143,152,161,170,170,170,170,170,170,170,170,170
32,42,51,55,68,82,101,118,161,170,170,170,170,170,170,170,170
30,32,34,42,54,59,111,116,125,145,161,170,170,170,170,170,170
37,44,45,51,71,84,89,120,129,152,161,170,170,170,170,170,170
32,37,39,53,53,70,79,88,97,111,111,152,161,170,170,170,170
37,39,78,81,83,85,122,136,152,161,170,170,170,170,170,170,170
30,35,55,61,72,91,111,127,129,152,161,170,170,170,170,170,170
30,34,37,71,87,96,103,108,128,153,170,170,170,170,170,170,170
30,31,36,45,62,75,80,116,118,124,161,170,170,170,170,170,170
37,45,47,52,83,107,116,152,161,170,170,170,170,170,170,170,170
30,32,35,40,66,85,113,130,161,170,170,170,170,170,170,170,170
30,35,35,39,56,62,71,92,124,170,170,170,170,170,170,170,170
35,37,40,88,95,100,120,126,170,170,170,170,170,170,170,170,170
32,34,37,37,62,67,69,81,97,104,134,143,152,161,170,170,170
30,30,30,32,46,55,57,87,96,110,118,143,152,161,170,170,170
30,39,41,63,93,102,104,106,143,152,161,170,170,170,170,170,170
30,32,42,44,65,104,104,134,143,152,161,170,170,170,170,170,170
32,34,41,50,80,80,97,99,105,119,145,170,170,170,170,170,170
32,34,34,36,67,69,94,108,127,152,161,170,170,170,170,170,170
32,52,54,59,68,90,92,109,161,170,170,170,170,170,170,170,170
32,32,41,44,52,70,79,86,95,104,106,122,152,161,170,170,170
30,32,33,50,63,72,86,88,93,99,113,136,152,161,170,170,170
30,37,43,55,57,73,88,108,116,122,136,145,161,170,170,170,170
32,34,37,42,84,98,104,134,143,152,161,170,170,170,170,170,170
32,37,46,48,68,83,84,84,91,111,136,161,170,170,170,170,170
37,42,50,88,104,113,118,125,161,170,170,170,170,170,170,170,170
35,40,45,47,47,47,77,85,94,97,103,161,170,170,170,170,170
32,32,43,56,70,72,81,89,113,122,131,161,170,170,170,170,170
35,35,41,41,55,55,63,102,104,118,127,152,161,170,170,170,170
30,39,44,61,72,88,102,111,113,118,161,170,170,170,170,170,170
32,37,39,56,61,89,93,152,161,170,170,170,170,170,170,170,170
32,37,39,41,55,80,86,98,130,139,161,170,170,170,170,170,170
32,38,42,78,79,83,93,107,116,136,152,161,170,170,170,170,170
30,32,32,36,45,59,71,101,117,134,143,152,161,170,170,170,170
37,44,46,58,88,90,92,161,170,170,170,170,170,170,170,170,170
32,32,34,41,55,71,82,102,104,118,134,143,152,161,170,170,170
32,41,41,43,45,66,73,135,144,153,170,170,170,170,170,170,170
30,32,38,80,81,90,92,98,105,161,170,170,170,170,170,170,170
32,37,42,81,96,136,145,161,170,170,170,170,170,170,170,170,170
30,35,36,38,47,78,89,135,144,152,161,170,170,170,170,170,170
32,32,38,62,71,79,134,143,152,161,170,170,170,170,170,170,170
32,38,43,45,63,65,83,110,116,161,170,170,170,170,170,170,170
35,35,37,71,80,89,89,97,103,152,161,170,170,170,170,170,170
35,35,36,37,80,86,127,152,161,170,170,170,170,170,170,170,170
30,35,40,45,62,82,84,107,116,136,161,170,170,170,170,170,170
32,37,40,44,58,64,113,122,152,161,170,170,170,170,170,170,170
30,32,39,47,83,92,93,113,120,136,145,161,170,170,170,170,170
32,34,36,66,67,75,92,104,127,143,152,161,170,170,170,170,170
