0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
32,34,43,57,59,72,72,86,88,102,127,152,161,170,170,170,170
32,32,37,39,48,68,92,100,119,128,153,170,170,170,170,170,170
30,30,30,40,55,77,82,91,127,136,161,170,170,170,170,170,170
30,32,46,48,66,68,70,72,103,128,145,170,170,170,170,170,170
32,32,57,59,65,81,83,106,115,124,124,170,170,170,170,170,170
32,32,34,42,51,73,75,89,96,96,113,122,131,145,170,170,170
35,37,43,43,57,59,118,118,118,152,161,170,170,170,170,170,170
30,31,33,46,76,84,86,100,109,118,127,127,152,161,170,170,170
32,34,43,54,54,88,97,145,161,170,170,170,170,170,170,170,170
32,34,34,60,62,76,101,110,112,120,143,152,161,170,170,170,170
30,32,34,34,43,52,82,87,92,104,134,143,152,161,170,170,170
30,32,71,73,75,78,87,93,99,143,152,161,170,170,170,170,170
37,47,49,51,53,62,63,69,122,122,122,122,152,161,170,170,170
32,34,38,40,75,119,135,143,152,152,170,170,170,170,170,170,170
37,38,38,47,50,81,104,104,134,143,152,161,170,170,170,170,170
30,34,51,54,79,102,107,116,125,170,170,170,170,170,170,170,170
32,34,44,74,83,93,122,131,161,170,170,170,170,170,170,170,170
35,55,57,63,88,93,100,116,136,152,161,170,170,170,170,170,170
30,34,34,43,57,65,73,91,93,152,161,170,170,170,170,170,170
35,37,40,71,73,90,104,127,129,152,161,170,170,170,170,170,170
35,35,41,55,55,58,103,108,128,145,161,170,170,170,170,170,170
